month,min_temp
1,-77.16091954022988
2,-79.93258426966293
3,-83.30729166666667
4,-82.74742268041237
5,-79.30872483221476
6,-75.29931972789116
7,-72.28169014084507
8,-68.38297872340425
9,-69.17164179104478
10,-71.98214285714286
11,-71.98550724637681
12,-74.45180722891567
